"ID","Set","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"ICE-01","Base Deck","Icebreaker","Question","Level 1","Strangers","Low","What color represents your current mood?","Warm Cream","Suitable for early playtesting.","A gentle self-expression opener."
"ICE-02","Base Deck","Icebreaker","Question","Level 1","Speed","Low","Coffee, tea, or neither?","Warm Cream","Suitable for early playtesting.","Simple preference with room for personality."
"ICE-03","Base Deck","Icebreaker","Question","Level 1","Strangers","Low","What app do you use most, and what does it say about you?","Warm Cream","Suitable for early playtesting.","Modern, playful, and revealing."
"ICE-04","Base Deck","Icebreaker","Question","Level 1","All","Low","What is one tiny thing that made today better?","Warm Cream","Suitable for early playtesting.","Builds warmth through ordinary gratitude."
"ICE-05","Base Deck","Icebreaker","Question","Level 1","All","Low","What is a song that always changes your mood?","Warm Cream","Suitable for early playtesting.","Music is an easy bridge into memory."
"ICE-06","Base Deck","Icebreaker","Question","Level 1","All","Medium","What question do you wish people asked you more often?","Warm Cream","Suitable for early playtesting.","Invites agency without forcing depth."
"ICE-07","Base Deck","Icebreaker","Question","Level 1","Strangers","Low","What is your current comfort show, meal, or ritual?","Warm Cream","Suitable for early playtesting.","Creates immediate relatability."
"ICE-08","Base Deck","Icebreaker","Question","Level 1","Teams","Low","What is something you are surprisingly good at?","Warm Cream","Suitable for early playtesting.","Light self-disclosure with confidence."
"ICE-09","Base Deck","Icebreaker","Question","Level 1","All","Low","What is the best compliment you have received recently?","Warm Cream","Suitable for early playtesting.","Opens positive reflection."
"ICE-10","Base Deck","Icebreaker","Question","Level 1","All","Medium","What is a place that instantly makes you feel more like yourself?","Warm Cream","Suitable for early playtesting.","Starts place-based storytelling."
"ICE-11","Base Deck","Icebreaker","Question","Level 2","Strangers","Low","What small object would explain your personality?","Warm Cream","Suitable for early playtesting.","Concrete and visual for groups or video."
"ICE-12","Base Deck","Icebreaker","Question","Level 2","All","Low","What is one thing you always notice first about a room?","Warm Cream","Suitable for early playtesting.","Accessible, sensory, and revealing."
"ICE-13","Base Deck","Icebreaker","Question","Level 2","Family","Medium","What was your favorite way to play as a child?","Warm Cream","Suitable for early playtesting.","Light nostalgia with emotional texture."
"ICE-14","Base Deck","Icebreaker","Question","Level 2","Strangers","Low","What is a trend you secretly understand?","Warm Cream","Suitable for early playtesting.","Gen Z-friendly and playful."
"ICE-15","Base Deck","Icebreaker","Question","Level 2","All","Low","What is something you used to dislike but now love?","Warm Cream","Suitable for early playtesting.","Safe way to discuss change."
"ICE-16","Base Deck","Icebreaker","Question","Level 2","Strangers","Low","What is your ideal low-pressure hangout?","Warm Cream","Suitable for early playtesting.","Reveals social needs gently."
"ICE-17","Base Deck","Icebreaker","Question","Level 2","All","Medium","What is a word people use to describe you that feels accurate?","Warm Cream","Suitable for early playtesting.","Introduces self-perception."
"ICE-18","Base Deck","Icebreaker","Question","Level 2","All","Medium","What is a word people use to describe you that feels wrong?","Warm Cream","Suitable for early playtesting.","Adds nuance without becoming too heavy."
"ICE-19","Base Deck","Icebreaker","Question","Level 2","Teams","Low","What is one thing you would teach a room full of strangers?","Warm Cream","Suitable for early playtesting.","Invites expertise and identity."
"ICE-20","Base Deck","Icebreaker","Question","Level 2","All","Medium","What is your favorite kind of silence?","Warm Cream","Suitable for early playtesting.","A poetic entry into comfort and connection."
"ICE-21","Base Deck","Icebreaker","Question","Level 3","All","Low","What is something that makes you laugh faster than it should?","Warm Cream","Suitable for early playtesting.","Fast path to warmth."
"ICE-22","Base Deck","Icebreaker","Question","Level 3","Family","Low","What is a food memory you still think about?","Warm Cream","Suitable for early playtesting.","Sensory, personal, and inclusive."
"ICE-23","Base Deck","Icebreaker","Question","Level 3","All","Medium","What is a tiny rule you live by?","Warm Cream","Suitable for early playtesting.","Reveals values in a compact way."
"ICE-24","Base Deck","Icebreaker","Question","Level 3","Friends","Low","What would your friends say is your signature move?","Warm Cream","Suitable for early playtesting.","Playful self-awareness."
"ICE-25","Base Deck","Icebreaker","Question","Level 3","All","Low","What is something you are currently curious about?","Warm Cream","Suitable for early playtesting.","Opens future-oriented conversation."
"ICE-26","Base Deck","Icebreaker","Question","Level 3","Speed","Low","What is your favorite way to make a boring day better?","Warm Cream","Suitable for early playtesting.","Useful and easy to answer."
"ICE-27","Base Deck","Icebreaker","Question","Level 3","Strangers","Medium","What is a place online that feels strangely comforting?","Warm Cream","Suitable for early playtesting.","Modern connection lens."
"ICE-28","Base Deck","Icebreaker","Question","Level 3","All","Medium","What is one thing you would put in a care package for yourself?","Warm Cream","Suitable for early playtesting.","Gentle self-knowledge."
"ICE-29","Base Deck","Icebreaker","Question","Level 3","Teams","Low","What is a harmless hill you will die on?","Warm Cream","Suitable for early playtesting.","Playful debate starter."
"ICE-30","Base Deck","Icebreaker","Question","Level 3","All","Medium","What is one good thing people often miss about you?","Warm Cream","Suitable for early playtesting.","Soft invitation into being seen."
"CON-01","Base Deck","Connection","Question","Level 1","All","Medium","What is a lesson you learned the hard way?","Muted Teal","Suitable for early playtesting.","Encourages story and wisdom."
"CON-02","Base Deck","Connection","Question","Level 1","All","Medium","Who in your life makes you feel most understood?","Muted Teal","Suitable for early playtesting.","Surfaces models of connection."
"CON-03","Base Deck","Connection","Question","Level 1","Deep Dive","High","What is something you are still learning to say out loud?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Naming vulnerability with choice."
"CON-04","Base Deck","Connection","Question","Level 1","All","Medium","What belief did you used to hold, but no longer do?","Muted Teal","Suitable for early playtesting.","Tracks growth and perspective."
"CON-05","Base Deck","Connection","Question","Level 1","Deep Dive","High","When was the last time you felt truly seen?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Core brand-level question."
"CON-06","Base Deck","Connection","Question","Level 1","All","High","What is one thing you wish people knew about your story?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Deep but open-ended."
"CON-07","Base Deck","Connection","Question","Level 1","Couples","Medium","What kind of support is easiest for you to receive?","Muted Teal","Suitable for early playtesting.","Practical intimacy."
"CON-08","Base Deck","Connection","Question","Level 1","Deep Dive","High","What kind of support is hardest for you to ask for?","Muted Teal","Best after trust has warmed up; passing is always allowed.","Useful for trusted groups."
